date,away_team,home_team,away_runs,home_runs,season
2018-03-29,COL,ARI,2,8,2018
2018-03-29,NYA,TOR,6,1,2018
2018-03-29,HOU,TEX,4,1,2018
2018-03-29,BOS,TBA,4,6,2018
2018-03-29,CLE,SEA,1,2,2018
2018-03-29,CHA,KCA,14,7,2018
2018-03-29,ANA,OAK,5,6,2018
2018-03-29,MIL,SDN,2,1,2018
2018-03-29,SLN,NYN,4,9,2018
2018-03-29,CHN,MIA,8,4,2018
2018-03-29,SFN,LAN,1,0,2018
2018-03-29,PHI,ATL,5,8,2018
2018-03-29,MIN,BAL,2,3,2018
2018-03-30,ANA,OAK,2,1,2018
2018-03-30,NYA,TOR,4,2,2018
2018-03-30,HOU,TEX,1,5,2018
2018-03-30,BOS,TBA,1,0,2018
2018-03-30,PIT,DET,13,10,2018
2018-03-30,PHI,ATL,5,4,2018
2018-03-30,CHN,MIA,1,2,2018
2018-03-30,SFN,LAN,1,0,2018
2018-03-30,WAS,CIN,2,0,2018
2018-03-30,COL,ARI,8,9,2018
2018-03-30,MIL,SDN,8,6,2018
2018-03-31,CHA,KCA,4,3,2018
2018-03-31,NYA,TOR,3,5,2018
2018-03-31,HOU,TEX,9,3,2018
2018-03-31,BOS,TBA,3,2,2018
2018-03-31,CLE,SEA,6,5,2018
2018-03-31,MIN,BAL,6,2,2018
2018-03-31,ANA,OAK,8,3,2018
2018-03-31,SLN,NYN,2,6,2018
2018-03-31,CHN,MIA,10,6,2018
2018-03-31,MIL,SDN,7,3,2018
2018-03-31,SFN,LAN,0,5,2018
2018-03-31,WAS,CIN,13,7,2018
2018-03-31,PHI,ATL,2,15,2018
2018-03-31,COL,ARI,2,1,2018
2018-04-01,HOU,TEX,8,2,2018
2018-04-01,BOS,TBA,2,1,2018
2018-04-01,CLE,SEA,4,5,2018
2018-04-01,ANA,OAK,7,4,2018
2018-04-01,PIT,DET,8,6,2018
2018-04-01,NYA,TOR,4,7,2018
2018-04-01,MIN,BAL,7,0,2018
2018-04-01,SLN,NYN,5,1,2018
2018-04-01,CHN,MIA,0,6,2018
2018-04-01,SFN,LAN,0,9,2018
2018-04-01,WAS,CIN,6,5,2018
2018-04-01,PIT,DET,1,0,2018
2018-04-02,CHA,TOR,2,4,2018
2018-04-02,TEX,OAK,1,3,2018
2018-04-02,BAL,HOU,1,6,2018
2018-04-02,KCA,DET,1,6,2018
2018-04-02,CLE,ANA,6,0,2018
2018-04-02,COL,SDN,7,4,2018
2018-04-02,MIN,PIT,4,5,2018
2018-04-02,BOS,MIA,7,3,2018
2018-04-02,CHN,CIN,0,1,2018
2018-04-02,WAS,ATL,8,1,2018
2018-04-02,LAN,ARI,7,8,2018
2018-04-02,SLN,MIL,8,4,2018
2018-04-03,CLE,ANA,2,13,2018
2018-04-03,CHA,TOR,5,14,2018
2018-04-03,TEX,OAK,4,1,2018
2018-04-03,TBA,NYA,4,11,2018
2018-04-03,BAL,HOU,6,10,2018
2018-04-03,SEA,SFN,6,4,2018
2018-04-03,KCA,DET,1,0,2018
2018-04-03,PHI,NYN,0,2,2018
2018-04-03,COL,SDN,4,8,2018
2018-04-03,SLN,MIL,4,5,2018
2018-04-03,BOS,MIA,4,2,2018
2018-04-03,WAS,ATL,6,13,2018
2018-04-03,LAN,ARI,1,6,2018
2018-04-04,CHA,TOR,4,3,2018
2018-04-04,TEX,OAK,2,6,2018
2018-04-04,BAL,HOU,2,3,2018
2018-04-04,CLE,ANA,2,3,2018
